                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1582,                 7.3912,                 2.1691,                0.41945,                0.48596,                0.40527,                0.24009,                  2.956,                  5.934,                  2.297,             0.00066368,             0.00066368,             0.00066368
                      2,                 3.1948,                 5.9631,                 2.2772,                0.47105,                0.57865,                0.50024,                0.24636,                 3.1388,                  7.042,                 2.5118,               0.001326,               0.001326,               0.001326
                      3,                 3.1176,                 6.0472,                 2.2695,                0.43829,                0.50281,                0.47586,                0.24506,                  3.088,                 5.8115,                 2.4804,              0.0019838,              0.0019838,              0.0019838
                      4,                 3.3629,                 5.5346,                 2.3639,                0.54675,                0.52247,                0.53848,                0.30212,                 3.0934,                 4.6388,                 2.5335,              0.0019802,              0.0019802,              0.0019802
                      5,                 3.1792,                 4.9487,                  2.314,                0.50255,                0.59551,                0.53347,                0.28385,                 3.1128,                 4.6647,                 2.5216,              0.0019736,              0.0019736,              0.0019736
                      6,                 3.2979,                  4.903,                 2.3843,                0.56729,                0.60393,                0.59383,                0.33361,                 2.9681,                 3.4161,                 2.4226,               0.001967,               0.001967,               0.001967
                      7,                 3.1594,                 4.3257,                 2.2835,                0.64882,                0.66428,                0.68921,                0.37252,                  3.026,                 3.4013,                 2.5294,              0.0019604,              0.0019604,              0.0019604
                      8,                 3.1592,                 4.1596,                 2.3194,                0.66414,                0.64888,                0.68054,                0.38487,                 2.9474,                 3.1852,                 2.4244,              0.0019538,              0.0019538,              0.0019538
                      9,                 3.1317,                 4.1275,                 2.2714,                0.66758,                0.60925,                0.67843,                0.38744,                 2.9302,                 3.1316,                 2.3973,              0.0019472,              0.0019472,              0.0019472
                     10,                 3.0729,                  3.653,                 2.2748,                0.69663,                0.67697,                0.73146,                0.41984,                 2.8748,                 2.8935,                 2.4916,              0.0019406,              0.0019406,              0.0019406
                     11,                 2.9972,                 3.5239,                 2.2771,                0.67373,                0.65449,                 0.7097,                0.41946,                 2.8907,                 2.9998,                 2.4505,               0.001934,               0.001934,               0.001934
                     12,                 2.8832,                 3.5147,                 2.2035,                0.79621,                0.60674,                0.74698,                 0.4353,                  2.983,                 3.0599,                 2.4883,              0.0019274,              0.0019274,              0.0019274
                     13,                 2.9952,                 3.4141,                 2.3062,                 0.6115,                0.67135,                0.65073,                0.36793,                 2.9569,                 3.1437,                 2.5116,              0.0019208,              0.0019208,              0.0019208
                     14,                 3.0095,                 3.1543,                 2.3247,                0.72627,                0.63764,                0.75481,                 0.4502,                 2.9072,                 2.6229,                 2.4466,              0.0019142,              0.0019142,              0.0019142
                     15,                  2.949,                 2.9618,                 2.3135,                0.78963,                0.64315,                0.76074,                0.45287,                 2.8457,                 2.6539,                 2.4179,              0.0019076,              0.0019076,              0.0019076
                     16,                 2.9973,                 2.8901,                 2.2873,                0.76785,                0.71067,                0.78979,                0.45941,                 2.8448,                 2.5663,                 2.4062,               0.001901,               0.001901,               0.001901
                     17,                 2.9601,                 2.7557,                  2.217,                0.77847,                0.70085,                0.78309,                0.46408,                 2.8335,                 2.4745,                 2.4301,              0.0018944,              0.0018944,              0.0018944
                     18,                 2.8893,                 2.6878,                  2.253,                 0.7562,                0.68829,                0.77814,                0.47662,                 2.9863,                 2.3754,                 2.4951,              0.0018878,              0.0018878,              0.0018878
                     19,                 2.8785,                  2.493,                  2.174,                0.74443,                0.74157,                 0.8155,                0.50837,                 2.8102,                 2.1793,                 2.3806,              0.0018812,              0.0018812,              0.0018812
                     20,                   2.86,                 2.5383,                 2.2231,                0.77435,                0.70225,                0.80436,                0.48691,                 2.7274,                 2.3321,                 2.3336,              0.0018746,              0.0018746,              0.0018746
                     21,                  2.799,                 2.5013,                 2.2285,                0.79595,                0.74507,                0.81956,                0.51061,                 2.7556,                 2.1867,                 2.3697,               0.001868,               0.001868,               0.001868
                     22,                 2.8421,                  2.333,                 2.1532,                0.78373,                0.72472,                0.81508,                0.49077,                 2.8164,                 2.3966,                 2.3877,              0.0018614,              0.0018614,              0.0018614
                     23,                 2.8949,                 2.3685,                 2.2301,                0.80134,                0.79314,                0.83536,                 0.4861,                 2.8214,                 2.3767,                 2.4266,              0.0018548,              0.0018548,              0.0018548
                     24,                 2.7027,                 2.2091,                 2.1374,                 0.8166,                0.77809,                0.83541,                0.49704,                 2.7715,                 2.2505,                 2.3777,              0.0018482,              0.0018482,              0.0018482
                     25,                  2.778,                 2.2443,                 2.2112,                0.77309,                0.79436,                 0.8274,                 0.4746,                 2.8052,                 2.9698,                 2.3728,              0.0018416,              0.0018416,              0.0018416
                     26,                  2.775,                 2.3507,                 2.1494,                0.78434,                0.78652,                0.83233,                 0.5109,                 2.6639,                 2.4724,                 2.2947,               0.001835,               0.001835,               0.001835
                     27,                  2.919,                 2.2249,                 2.2567,                0.83074,                0.74719,                 0.8211,                0.44879,                 2.9283,                  2.478,                 2.4788,              0.0018284,              0.0018284,              0.0018284
                     28,                 2.9157,                 2.2722,                 2.2057,                0.76165,                0.73876,                 0.8205,                0.48166,                 2.7275,                 2.1863,                 2.3512,              0.0018218,              0.0018218,              0.0018218
                     29,                 2.7875,                 2.2676,                 2.1378,                0.78696,                0.76786,                0.82507,                0.50275,                  2.772,                 2.3271,                  2.375,              0.0018152,              0.0018152,              0.0018152
                     30,                 2.8471,                 2.1275,                 2.1869,                0.82036,                0.76685,                0.84929,                0.51372,                 2.8039,                 2.1123,                 2.3732,              0.0018086,              0.0018086,              0.0018086
                     31,                   2.86,                 2.1436,                 2.2073,                0.83991,                 0.7191,                0.83197,                0.48217,                 2.8783,                 2.2377,                 2.4587,               0.001802,               0.001802,               0.001802
                     32,                 2.8226,                 2.0297,                 2.1677,                0.77039,                0.77809,                0.83505,                0.49318,                 2.7803,                 2.2758,                   2.42,              0.0017954,              0.0017954,              0.0017954
                     33,                 2.7315,                 2.0301,                  2.175,                0.85563,                0.74913,                0.84862,                0.51933,                 2.7831,                 2.2012,                  2.416,              0.0017888,              0.0017888,              0.0017888
                     34,                 2.6748,                 2.0636,                 2.1792,                0.84151,                0.71589,                 0.8349,                0.51666,                 2.7629,                 2.1768,                 2.4051,              0.0017822,              0.0017822,              0.0017822
                     35,                  2.609,                 1.9927,                 2.0629,                0.82668,                   0.75,                0.83005,                0.48968,                 2.7527,                 2.3154,                 2.4139,              0.0017756,              0.0017756,              0.0017756
                     36,                 2.7077,                 1.9677,                 2.1653,                0.82363,                 0.7809,                0.85306,                0.50728,                 2.9069,                 2.2548,                 2.4832,               0.001769,               0.001769,               0.001769
                     37,                 2.6671,                 1.9785,                 2.0976,                0.83774,                0.75281,                0.82124,                0.46806,                 3.0984,                 2.3704,                 2.5672,              0.0017624,              0.0017624,              0.0017624
                     38,                 2.6358,                 1.9287,                 2.1366,                0.85785,                0.72895,                0.83364,                 0.4829,                 2.8559,                 2.2725,                 2.4115,              0.0017558,              0.0017558,              0.0017558
                     39,                  2.795,                 1.8479,                 2.1961,                0.84708,                0.74157,                0.84665,                0.53485,                 2.6628,                 2.2449,                 2.3541,              0.0017492,              0.0017492,              0.0017492
                     40,                 2.6226,                 1.8122,                 2.0859,                0.85616,                0.79213,                0.86864,                0.54514,                 2.6859,                 2.1522,                 2.3264,              0.0017426,              0.0017426,              0.0017426
